New Releases For 7/24/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. For more information, go to www.digitalcomicsreader.com.

PREVIEWS  PUBLICATIONS

JUN130004 	PREVIEWS #299 AUG 2013 CUSTOMER ORDER FORM 	PI
MAY131350 	SOUL EATER TP VOL 15 (MR) 	$11.99
MAR131229 	SPIDER EXTREME PREJUDICE NOVEL LTD ED HC 	$29.99
APR130785 	STEAM WARS #2 	$3.99
APR130943 	STEED AND MRS PEEL ONGOING #10 [DIG] 	$3.99
MAY130907 	STITCHED #15 (MR) 	$3.99
MAY130909 	STITCHED #15 GORE CVR (MR) 	$3.99
MAY130908 	STITCHED #15 WRAP CVR (MR) 	$3.99
MAY130972 	SUNDERKAAND TRIUMPH OF HANUMAN GN CAMPFIRE ED 	$9.99
MAR130800 	THE DOMAIN GN 	$9.95
APR131252 	TOMORROWLAND #1 	$3.99
MAY131030 	UNCANNY #2 	$3.99
MAY131351 	UNTIL DEATH DO US PART GN VOL 04 	$18.99
NOV121107 	WARLORD OF MARS #27 (MR) 	$3.99
MAR131251 	WARS IN TOYLAND HC 	$19.99
 
MAGAZINES

APR131373 	ALTER EGO #119 	$8.95
APR131374 	BACK ISSUE #66 	$8.95
MAY131424 	COMIC SHOP NEWS #1362 	PI
MAY130679 	DISNEY JUNIOR MAGAZINE #15 	$4.99
MAR131477 	FANGORIA #325 	$9.99
MAY131417 	NON SPORT UPDATE VOL 24 #4 	$5.99
MAY130680 	PHINEAS AND FERB MAGAZINE #19 	$4.99
MAY131495 	STAR WARS INSIDER #143 NEWSSTAND ED 	$7.99
MAY131496 	STAR WARS INSIDER #143 PX ED 	$7.99
 
BOOKS

MAY131402 	ADVENTURE TIME ENCYCLOPEDIA HC (RES) 	$19.95
MAY131352 	BOOK GIRL & SCRIBE WHO FACED GOD NOVEL PT 1 	$11.99
MAY130771 	CUL DE SAC TP MIGHTY ALICE GOES ROUND & ROUND 	$9.99
MAY131147 	DANIEL CLOWES READER SC (RES) 	$35.00
MAY131476 	GUILD OFF COMPANION SC 	$19.95
MAY130772 	PEARLS BEFORE SWINE BEGINNING PEARLS TP 	$9.99
MAR131228 	SPIDER EXTREME PREJUDICE NOVEL SC 	$18.95
MAY131450 	YOUR SKELETON IS SHOWING HC 	$16.99
 
MERCHANDISE

JUN131807 	ADVENTURE TIME 16-PC PLUSH 	PI
APR138254 	ALIEN 1/9 SCALE MODEL KIT 	$19.99
APR131836 	AMT DIRTY DONNY SUPER BEE 1/25 MODEL KIT 	$23.99
APR130787 	AT AT DRIVER T/S LG 	$21.95
APR130786 	AT AT DRIVER T/S MED 	$21.95
APR130788 	AT AT DRIVER T/S XL 	$21.95
APR130789 	AT AT DRIVER T/S XXL 	$22.95
APR131451 	AVENGERS ASSEMBLE 2014 16 MONTH WALL CAL 	$14.99
OCT121691 	BEAST ORIGINAL STATUE 	$200.00
APR131949 	BORDER BREAK FIONA PVC FIG KAZAMA RAITA VER 	$144.99
JAN138197 	BORDER BREAK FIONA PVC FIG KAZAMA RAITA VER 	$144.99
MAR131950 	BREAKING BAD 4-IN PLUSH CLIP-ON 	PI
MAR131951 	BREAKING BAD 6-IN BOBBLEHEAD 	PI
MAR131949 	BREAKING BAD 8-IN PLUSH 	$14.99
FEB131565 	CHRISTINE 58 PLYMOUTH FURY 1/18 DIE-CAST VEHICLE 	PI
JAN131784 	DARK KNIGHT TRILOGY PLAY ARTS KAI CATWOMAN AF 	$64.99
JAN131785 	DARK KNIGHT TRILOGY PLAY ARTS KAI THE JOKER AF 	$64.99
APR131959 	DBZ FRIEZA FINAL FORM S.H.FIGUARTS AF 	$51.99
MAR132078 	DEAD SPACE 3 PLAY ARTS KAI ISAAC CLARKE AF 	$79.99
NOV121809 	DOC SAMSON STATUE 	$235.00
APR131463 	DOCTOR WHO 2014 16 MONTH WALL CALENDAR 	$14.99
JAN138367 	DOG & SCISSORS KIRIHIME NATSUNO PVC FIG 	$109.99
MAY131991 	DOG & SCISSORS KIRIHIME NATSUNO PVC FIG 	$109.99
MAY132367 	FAIRY TAIL BD + DVD SEA 02 PT 1 	$54.98
FEB131619 	GIANT MICROBES CALAMITIES 24-PC PLUSH 	PI
MAY131821 	GODZILLA 2-IN 6-PC CHIBI SD FIG DIORAMA 	PI
MAY131820 	GODZILLA 6-IN COLLECTIBLE FIGURE 2013 	$12.99
MAY131993 	GUTTO-KURU 013 SANKAREA REA SANKA PVC FIG 	$124.99
MAY131992 	GUTTO-KURU 014 HAIYORE NYARUKO-SAN NYARUKO PVC FIG 	$124.99
MAY132032 	GUTTO-KURU 015 SENRAN KAGURA HIBARI PVC FIG 	$124.99
MAY131994 	GUTTO-KURU SWEET 002 RUMI SUMIDA PVC FIG (MR) 	$139.99
FEB131844 	HOBBIT THORIN KEY KEYCHAIN 	$9.00
